mleIU,mleSU,hurIU,hurSU,tianIU,tianSU,enhancedIU,enhancedSU,dynamicIU,dynamicSU
7.08,6.86,7.55,7.54,8.62,9.33,9.46,9.48,9.93,16.53
12.09,12.08,34.15,35.16,34.89,35.5,16.92,16.88,35.36,53.56
20.62,20.75,47.5,45.11,50.91,50.41,25.32,25.09,50.42,80.25
32.25,32.26,63.86,60.64,68.45,69.25,34.23,33.27,69.94,108.73
36.36,36.38,81.76,80.36,85.34,83.65,42.96,41.92,82.5,132.87
